model,average_precision,roc_auc,f1,precision,recall,balanced_accuracy,threshold
logistic_regression,0.18424466058917466,0.8770886986418669,0.23017902813299232,0.1461038961038961,0.5421686746987951,0.735481250846081,0.8838672612605136
random_forest,0.09305263297500839,0.8027493757349692,0.14356435643564355,0.12184873949579832,0.1746987951807229,0.5732029240557737,0.2644655208615077
hist_gradient_boosting,0.0862578096480393,0.8190075857783374,0.16346153846153846,0.136,0.20481927710843373,0.5877893596859347,0.7121005797694775
dummy_most_frequent,0.02197802197802198,0.5,0.043010752688172046,0.02197802197802198,1.0,0.5,0.0
