horizon_h,best_model,average_precision,roc_auc,f1,precision,recall,positive_rate_test
1,random_forest,0.6700101032151524,0.9740986677055943,0.6666666666666666,0.7202797202797203,0.6204819277108434,0.021966388778615852
3,random_forest,0.40761268885478485,0.9332035217041892,0.41155234657039713,0.5135135135135135,0.3433734939759036,0.021966388778615852
6,hist_gradient_boosting,0.22699775507380915,0.8592664297243099,0.28314606741573034,0.22580645161290322,0.3795180722891566,0.02196929592376919
12,hist_gradient_boosting,0.196345352802588,0.8606455868133517,0.22748815165876776,0.1875,0.2891566265060241,0.02197220383851754
