model,average_precision,roc_auc,f1,precision,recall,balanced_accuracy,threshold
random_forest,0.6700101032151524,0.9740986677055943,0.6666666666666666,0.7202797202797203,0.6204819277108434,0.8075349700792074,0.357729922418254
logistic_regression,0.5833335585894046,0.9737339290866618,0.6030150753768844,0.5172413793103449,0.7228915662650602,0.8538690005591301,0.9953970737988252
hist_gradient_boosting,0.5825525176373747,0.9182166359933034,0.610062893081761,0.6381578947368421,0.5843373493975904,0.7884479332565005,0.8537360228959587
dummy_most_frequent,0.021966388778615852,0.5,0.042988475980836466,0.021966388778615852,1.0,0.5,0.0
