model,average_precision,roc_auc,f1,precision,recall,balanced_accuracy,threshold
random_forest,0.40761268885478485,0.9332035217041892,0.41155234657039713,0.5135135135135135,0.3433734939759036,0.6680336553900624,0.3112491026571036
hist_gradient_boosting,0.3846521578709858,0.8965658330793068,0.40634920634920635,0.42953020134228187,0.3855421686746988,0.687020847562894,0.8446312645084084
logistic_regression,0.3383017374345171,0.9437821642407813,0.4389027431421446,0.37446808510638296,0.5301204819277109,0.7551157138362679,0.9965602113619016
dummy_most_frequent,0.021966388778615852,0.5,0.042988475980836466,0.021966388778615852,1.0,0.5,0.0
