model,average_precision,roc_auc,f1,precision,recall,balanced_accuracy,threshold
hist_gradient_boosting,0.22699775507380915,0.8592664297243099,0.28314606741573034,0.22580645161290322,0.3795180722891566,0.6751446924368651,0.6021261557400678
random_forest,0.20872046311798648,0.8743005852910968,0.27450980392156865,0.39325842696629215,0.21084337349397592,0.6017681008200597,0.47117405832691006
logistic_regression,0.2075304030456209,0.8951872442408333,0.2752688172043011,0.2140468227424749,0.3855421686746988,0.6768712196553467,0.9849396257413746
dummy_most_frequent,0.02196929592376919,0.5,0.042994042994043,0.02196929592376919,1.0,0.5,0.0
