model,average_precision,roc_auc,f1,precision,recall,balanced_accuracy,threshold
hist_gradient_boosting,0.196345352802588,0.8606455868133517,0.22748815165876776,0.1875,0.2891566265060241,0.6305033369368664,0.7034703876065795
logistic_regression,0.17215903008757458,0.8463720900654996,0.2435129740518962,0.18208955223880596,0.3674698795180723,0.6651938651887289,0.9577070397505463
random_forest,0.16984184251887974,0.7644023108267417,0.19081272084805653,0.135,0.3253012048192771,0.6392374206529733,0.08969877235565361
dummy_most_frequent,0.02197220383851754,0.5,0.04299961144929413,0.02197220383851754,1.0,0.5,0.0
