timestamp,DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile,DE_50hertz_load_actual_entsoe_transparency,DE_50hertz_load_forecast_entsoe_transparency,DE_50hertz_solar_generation_actual,DE_50hertz_wind_generation_actual,DE_50hertz_wind_offshore_generation_actual,DE_50hertz_wind_onshore_generation_actual,DE_amprion_load_actual_entsoe_transparency,DE_amprion_load_forecast_entsoe_transparency,DE_amprion_solar_generation_actual,DE_amprion_wind_onshore_generation_actual,DE_tennet_load_actual_entsoe_transparency,DE_tennet_load_forecast_entsoe_transparency,DE_tennet_solar_generation_actual,DE_tennet_wind_generation_actual,DE_tennet_wind_offshore_generation_actual,DE_tennet_wind_onshore_generation_actual,DE_transnetbw_load_actual_entsoe_transparency,DE_transnetbw_load_forecast_entsoe_transparency,DE_transnetbw_solar_generation_actual,DE_transnetbw_wind_onshore_generation_actual,DK_load_actual_entsoe_transparency,DK_load_forecast_entsoe_transparency,DK_solar_capacity,DK_solar_generation_actual,DK_wind_capacity,DK_wind_generation_actual,DK_wind_offshore_capacity,DK_wind_offshore_generation_actual,DK_wind_onshore_capacity,DK_wind_onshore_generation_actual,DK_1_load_actual_entsoe_transparency,DK_1_load_forecast_entsoe_transparency,DK_1_price_day_ahead,DK_1_solar_generation_actual,DK_1_wind_generation_actual,DK_1_wind_offshore_generation_actual,DK_1_wind_onshore_generation_actual,DK_2_load_actual_entsoe_transparency,DK_2_load_forecast_entsoe_transparency,DK_2_price_day_ahead,DK_2_solar_generation_actual,DK_2_wind_generation_actual,DK_2_wind_offshore_generation_actual,DK_2_wind_onshore_generation_actual,FR_load_actual_entsoe_transparency,FR_load_forecast_entsoe_transparency,FR_solar_generation_actual,FR_wind_onshore_generation_actual,IT_NORD_FR_price_day_ahead,year,month,day,hour,dayofweek,quarter,is_weekend
2016-02-21 14:00:00+00:00,50976.0,53321.0,38721.0,2470.0,0.0638,33114.0,22521.0,0.6801,2181.0,1604.0,0.7356,30933.0,20917.0,0.6762,9101.0,11785.0,323.0,5247.0,272.0,4975.0,20700.0,20157.0,775.0,6394.0,15654.0,15598.0,719.0,10261.0,1332.0,8929.0,5521.0,5780.0,653.0,619.0,3757.23,3742.8,539.0,38.61,4892.0,2096.54,1264.0,782.2,3628.0,1314.34,2153.76,2127.8,4.95,23.87,1743.11,616.86,1126.25,1603.47,1615.0,15.67,14.74,353.43,165.34,188.09,50845.0,49750.0,2128.0,4984.0,22.47,2016,2,21,14,6,1,1
2016-01-25 23:00:00+00:00,50932.0,53115.0,38681.0,0.0,0.0,32913.0,18747.0,0.5696,2162.0,2554.0,1.1813,30750.0,16193.0,0.5266,8730.0,9992.0,0.0,5843.0,279.0,5563.0,18814.0,19466.0,0.0,3136.0,16753.0,15977.0,0.0,9461.0,2275.0,7186.0,6635.0,7680.0,0.0,307.0,3211.73,3187.1,538.0,0.0,4885.0,3250.02,1264.0,1088.4,3621.0,2161.62,1941.12,1921.3,16.96,0.0,2598.25,713.48,1884.77,1270.61,1265.8,16.96,0.0,651.77,374.92,276.85,62090.0,63400.0,0.0,1713.0,40.82,2016,1,25,23,0,1,0
2019-11-07 05:00:00+00:00,61513.0,57841.0,50389.0,0.0,0.0,50185.0,5654.0,0.1127,5704.0,611.0,0.1072,44482.0,5042.0,0.1134,11605.0,11792.0,0.0,1115.0,46.0,1069.0,23310.0,22687.0,0.0,2410.0,18980.0,16047.0,0.0,1844.0,566.0,1278.0,7618.0,7314.0,0.0,285.0,4203.02,4161.5,547.0,0.0,6074.0,261.3,1701.0,138.9,4373.0,122.4,2607.37,2600.5,43.9,0.0,227.36,138.22,89.14,1595.65,1561.0,45.68,0.0,33.94,0.68,33.26,55861.0,54250.0,0.0,6252.0,79.8,2019,11,7,5,3,4,0
2016-11-16 13:00:00+00:00,71294.0,68679.0,39523.0,1375.0,0.0348,36176.0,19311.0,0.5338,2533.0,2831.0,1.1178,33644.0,16480.0,0.4898,11527.0,12136.0,174.0,5313.0,214.0,5099.0,27183.0,26224.0,468.0,3623.0,22907.0,20726.0,571.0,9879.0,2617.0,7261.0,9676.0,9594.0,162.0,497.0,4622.32,4711.4,547.0,21.57,5022.0,2621.6,1264.0,1088.21,3758.0,1533.39,2770.3,2778.0,35.96,16.44,2120.07,789.03,1331.04,1852.02,1933.4,45.25,5.13,501.53,299.18,202.35,66235.0,65150.0,1445.0,4211.0,67.78,2016,11,16,13,2,4,0
2015-07-14 11:00:00+00:00,66852.0,66326.0,37827.0,12384.0,0.3274,30229.0,6709.0,0.2219,1930.0,12.0,0.0061,28299.0,6697.0,0.2366,11077.0,11077.0,2536.0,2631.0,0.0,2631.0,25187.0,24184.0,3129.0,1986.0,21214.0,21161.0,4084.0,1953.0,12.0,1941.0,9373.0,9904.0,2636.0,139.0,3917.87,3936.5,508.0,442.01,4720.0,980.48,1264.0,144.21,3456.0,836.27,2351.55,2364.2,27.63,298.3,930.48,136.72,793.76,1566.32,1572.3,27.63,143.71,50.0,7.49,42.51,45212.0,46100.0,3323.0,2095.0,72.1,2015,7,14,11,1,3,0
2018-08-30 16:00:00+00:00,62756.0,62560.0,45645.0,2903.0,0.0636,46591.0,15051.0,0.323,3858.0,1862.0,0.4826,42733.0,13189.0,0.3086,12663.0,10653.0,431.0,5373.0,8.0,5366.0,23106.0,23801.0,836.0,1015.0,19372.0,20150.0,1232.0,8614.0,1854.0,6760.0,7615.0,7956.0,405.0,49.0,4323.0,4289.6,547.0,72.55,5654.0,1663.92,1294.0,442.7,4359.0,1221.22,2630.75,2599.0,67.1,68.11,1447.48,381.53,1065.95,1692.25,1690.6,65.49,4.44,216.44,61.17,155.27,48298.0,47950.0,1397.0,947.0,79.8,2018,8,30,16,3,3,0
2017-06-13 14:00:00+00:00,63393.0,63463.0,40803.0,15271.0,0.3743,39433.0,13936.0,0.3534,3090.0,1601.0,0.5182,36343.0,12335.0,0.3394,11754.0,10632.0,2881.0,7051.0,315.0,6736.0,23934.0,24021.0,3485.0,473.0,19470.0,20824.0,6246.0,6380.0,1287.0,5094.0,8236.0,7986.0,2658.0,32.0,3825.22,3828.4,547.0,352.71,5159.0,3613.29,1264.0,932.74,3895.0,2680.55,2310.47,2303.8,24.64,236.65,2844.25,605.21,2239.04,1514.75,1524.6,25.88,116.06,769.04,327.53,441.51,52440.0,51450.0,3699.0,687.0,51.5,2017,6,13,14,1,2,0
2019-06-18 00:00:00+00:00,45671.0,40359.0,49565.0,0.0,0.0,49394.0,9545.0,0.1932,5243.0,482.0,0.0919,44151.0,9063.0,0.2053,9656.0,7629.0,0.0,3557.0,45.0,3511.0,17344.0,16704.0,0.0,632.0,13474.0,11718.0,0.0,5103.0,436.0,4666.0,5197.0,4308.0,0.0,254.0,2745.83,2722.4,547.0,0.0,6074.0,1406.42,1701.0,373.24,4373.0,1033.18,1704.85,1703.9,29.88,0.0,1022.14,195.39,826.75,1040.98,1018.5,29.88,0.0,384.28,177.85,206.43,39442.0,40150.0,0.0,1910.0,79.8,2019,6,18,0,1,2,0
2017-04-11 00:00:00+00:00,44276.0,42925.0,40430.0,0.0,0.0,38408.0,16823.0,0.438,2878.0,3696.0,1.2843,35530.0,13126.0,0.3694,8390.0,7607.0,0.0,6941.0,322.0,6619.0,16880.0,17596.0,0.0,1303.0,13733.0,12376.0,0.0,8439.0,3374.0,5064.0,5273.0,5347.0,0.0,140.0,2682.73,2657.6,547.0,0.0,5127.0,3976.37,1264.0,1173.39,3863.0,2802.98,1583.61,1577.4,1.36,0.0,3048.04,799.54,2248.5,1099.12,1080.2,4.1,0.0,928.33,373.85,554.48,44141.0,44800.0,0.0,2072.0,29.02,2017,4,11,0,1,2,0
2015-08-07 19:00:00+00:00,53150.0,52689.0,37992.0,1.0,0.0,30526.0,3784.0,0.124,2062.0,22.0,0.0108,28464.0,3762.0,0.1322,9749.0,9749.0,0.0,1890.0,14.0,1875.0,19927.0,19182.0,1.0,898.0,16660.0,17042.0,0.0,981.0,8.0,973.0,6813.0,6715.0,0.0,16.0,3375.78,3370.1,510.0,0.53,4746.0,36.22,1264.0,11.26,3482.0,24.96,2024.84,2027.8,28.25,0.5,24.3,8.21,16.09,1350.94,1342.3,28.25,0.03,11.92,3.05,8.87,44501.0,44200.0,42.0,1978.0,70.56,2015,8,7,19,4,3,0
